source,HPO_term_VarName,HPO_term_name,HPO_term_id,highlighted,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
HP,Triphalangeal_thumb,Triphalangeal thumb,HP:0001199,FALSE,1.7890114201568815e-38,37.74738688710435,70,173,40,4958,"ADA2,BRCA1,BRCA2,BRIP1,ERCC4,FANCA,FANCB,FANCC,FANCD2,FANCE,FANCF,FANCG,FANCI,FANCL,GATA1,MAD2L2,PALB2,RAD51,RAD51C,RFWD3,RPL11,RPL15,RPL18,RPL26,RPL35,RPL35A,RPL5,RPS10,RPS15A,RPS17,RPS19,RPS24,RPS26,RPS28,RPS29,RPS7,SLX4,TSR2,UBE2T,XRCC2"
HP,Abnormal_leukocyte_count,Abnormal leukocyte count,HP:0011893,FALSE,3.056008639619849e-37,36.514845422303836,479,173,83,4958,"ADA2,BRCA1,BRCA2,BRIP1,BTK,CD40LG,DDX41,DKC1,DNAJC21,ELANE,EPB42,ERCC4,ETV6,FANCA,FANCB,FANCC,FANCD2,FANCE,FANCF,FANCG,FANCI,FANCL,FMO3,FOXP3,G6PC3,GATA1,GBA1,HBB,IFIH1,LIPA,LMBRD1,LPIN2,LYST,MAD2L2,MMAA,MMAB,MMACHC,MTRR,NAF1,PALB2,PCCA,PCCB,PRDX1,RAD51,RAD51C,RBM8A,RFWD3,RMRP,RPL11,RPL15,RPL18,RPL26,RPL35,RPL35A,RPL5,RPS10,RPS15A,RPS17,RPS19,RPS24,RPS26,RPS28,RPS29,RPS7,SAMD9,SAMD9L,SBDS,SLC37A4,SLC46A1,SLC7A7,SLX4,SMARCAL1,SRP54,TERT,TFR2,TGFB1,TINF2,TREX1,TSR2,UBE2T,UROS,WAS,XRCC2"
HP,Absent_thumb,Absent thumb,HP:0009777,FALSE,4.442319697426787e-33,32.35239019008466,57,173,34,4958,"ADA2,ERCC4,FANCA,FANCB,FANCC,FANCD2,FANCE,FANCF,FANCI,FANCL,GATA1,RAD51,RAD51C,RBM8A,RFWD3,RPL11,RPL15,RPL18,RPL26,RPL35,RPL35A,RPL5,RPS10,RPS15A,RPS17,RPS19,RPS24,RPS26,RPS28,RPS29,RPS7,SLX4,TSR2,XRCC2"
HP,Abnormal_immune_system_morphology,Abnormal immune system morphology,HP:0032251,FALSE,1.4183946401457445e-32,31.848202918523555,641,173,89,4958,"ACVRL1,ADA2,BRCA1,BRCA2,BRIP1,BTK,CD40LG,CLCN7,CTC1,DDX41,DKC1,DNAJC21,ELANE,ENG,EPB42,ERCC4,ETV6,FANCA,FANCB,FANCC,FANCD2,FANCE,FANCF,FANCG,FANCI,FANCL,FMO3,FOXP3,G6PC3,GATA1,GBA1,HBB,IFIH1,LIPA,LMBRD1,LPIN2,LYST,MAD2L2,MMAA,MMAB,MMACHC,MTRR,NAF1,PALB2,PCCA,PCCB,PRDX1,RAD51,RAD51C,RBM8A,RFWD3,RMRP,RPL11,RPL15,RPL18,RPL26,RPL35,RPL35A,RPL5,RPS10,RPS15A,RPS17,RPS19,RPS24,RPS26,RPS28,RPS29,RPS7,SAMD9,SAMD9L,SBDS,SLC37A4,SLC46A1,SLC7A7,SLX4,SMAD4,SMARCAL1,SMPD1,SRP54,TERT,TFR2,TGFB1,TINF2,TREX1,TSR2,UBE2T,UROS,WAS,XRCC2"
HP,Abnormality_of_the_urinary_system,Abnormality of the urinary system,HP:0000079,FALSE,2.1092768481926985e-32,31.675866414214248,2007,173,148,4958,"ABCG8,ACVRL1,ADA2,ALG8,ALPL,ANKS6,ATP6V1B1,ATP7B,BRCA1,BRCA2,BRIP1,BTK,C3,CD46,CEP164,CEP83,CFB,CFH,CFHR1,CFHR3,CFI,CLCN7,COG1,COL3A1,COL4A1,COL7A1,COQ2,CTC1,DCDC2,DKC1,DNAJC21,ENG,ERCC4,F8,FAH,FANCA,FANCB,FANCC,FANCD2,FANCE,FANCF,FANCG,FANCI,FANCL,FARS2,FMO3,FOXP3,G6PC1,G6PC3,GATA1,GBA1,GLA,GLIS2,HBA1,HBA2,HBB,HCFC1,HLA-DQB1,IFIH1,INVS,KCNQ1,LMBRD1,LPIN2,MAD2L2,MEN1,MMAA,MMAB,MMACHC,MMADHC,MMP1,MTR,MTRR,MUC1,NEK8,NPHP1,NPHP3,NPHP4,PALB2,PCCA,PCCB,PEPD,PLEC,PRDX1,RAD51,RAD51C,RBM8A,REN,RFWD3,RMRP,RPL11,RPL15,RPL18,RPL26,RPL35,RPL35A,RPL5,RPS10,RPS15A,RPS17,RPS19,RPS24,RPS26,RPS28,RPS29,RPS7,SAMD9,SBDS,SLC19A2,SLC25A13,SLC2A1,SLC37A4,SLC46A1,SLC4A1,SLC7A7,SLX4,SMAD4,SMARCAL1,SRP54,STK11,SURF1,TBX1,TERT,TGFB1,THBD,TINF2,TMEM67,TREX1,TSR2,UBE2T,UROS,WAS,WDR19,XPNPEP3,XRCC2,MT-ATP8,MT-ATP6,MT-CO1,MT-CO2,MT-CO3,MT-CYB,MT-ND1,MT-ND2,MT-ND3,MT-ND4,MT-ND5,MT-ND6,POLG,POLG2"
HP,Neutropenia,Neutropenia,HP:0001875,FALSE,3.3165207964298375e-32,31.479317275089137,200,173,54,4958,"ADA2,BTK,CD40LG,DNAJC21,ELANE,ETV6,FANCA,FANCC,FANCD2,FANCE,FANCG,FANCI,FMO3,FOXP3,G6PC3,GATA1,LMBRD1,LYST,MAD2L2,MMAA,MMAB,MMACHC,MTRR,PCCA,PCCB,PRDX1,RMRP,RPL11,RPL15,RPL18,RPL26,RPL35,RPL35A,RPL5,RPS10,RPS15A,RPS17,RPS19,RPS24,RPS26,RPS28,RPS29,RPS7,SAMD9,SAMD9L,SBDS,SLC37A4,SLC46A1,SMARCAL1,SRP54,TERT,TFR2,TSR2,WAS"
HP,Abnormality_of_the_urinary_system_physiology,Abnormality of the urinary system physiology,HP:0011277,FALSE,5.644404473122086e-32,31.248381872637214,1102,173,113,4958,"ACVRL1,ADA2,ALPL,ANKS6,ATP6V1B1,ATP7B,BRCA1,BRCA2,BRIP1,BTK,C3,CD46,CEP164,CEP83,CFB,CFH,CFHR1,CFHR3,CFI,COG1,COL3A1,COL4A1,COL7A1,COQ2,DCDC2,ENG,ERCC4,F8,FAH,FANCA,FANCB,FANCC,FANCD2,FANCE,FANCF,FANCG,FANCI,FANCL,FARS2,FMO3,FOXP3,G6PC1,G6PC3,GATA1,GBA1,GLA,GLIS2,HBB,HCFC1,IFIH1,INVS,LMBRD1,LPIN2,MAD2L2,MEN1,MMAA,MMAB,MMACHC,MMADHC,MMP1,MTR,MTRR,MUC1,NEK8,NPHP1,NPHP3,NPHP4,PALB2,PCCA,PCCB,PEPD,PRDX1,RAD51,RAD51C,REN,RFWD3,RMRP,SAMD9,SLC19A2,SLC25A13,SLC37A4,SLC46A1,SLC4A1,SLC7A7,SLX4,SMAD4,SMARCAL1,STK11,SURF1,TBX1,TERT,TGFB1,THBD,TMEM67,TREX1,UBE2T,UROS,WAS,WDR19,XPNPEP3,XRCC2,MT-ATP8,MT-ATP6,MT-CO1,MT-CO2,MT-CO3,MT-ND1,MT-ND2,MT-ND3,MT-ND4,MT-ND5,MT-ND6,POLG"
HP,Abnormal_leukocyte_morphology,Abnormal leukocyte morphology,HP:0001881,FALSE,2.508835154071285e-31,30.600527873571465,615,173,86,4958,"ADA2,BRCA1,BRCA2,BRIP1,BTK,CD40LG,CLCN7,CTC1,DDX41,DKC1,DNAJC21,ELANE,EPB42,ERCC4,ETV6,FANCA,FANCB,FANCC,FANCD2,FANCE,FANCF,FANCG,FANCI,FANCL,FMO3,FOXP3,G6PC3,GATA1,GBA1,HBB,IFIH1,LIPA,LMBRD1,LPIN2,LYST,MAD2L2,MMAA,MMAB,MMACHC,MTRR,NAF1,PALB2,PCCA,PCCB,PRDX1,RAD51,RAD51C,RBM8A,RFWD3,RMRP,RPL11,RPL15,RPL18,RPL26,RPL35,RPL35A,RPL5,RPS10,RPS15A,RPS17,RPS19,RPS24,RPS26,RPS28,RPS29,RPS7,SAMD9,SAMD9L,SBDS,SLC37A4,SLC46A1,SLC7A7,SLX4,SMARCAL1,SMPD1,SRP54,TERT,TFR2,TGFB1,TINF2,TREX1,TSR2,UBE2T,UROS,WAS,XRCC2"
HP,Abnormal_cellular_immune_system_morphology,Abnormal cellular immune system morphology,HP:0010987,FALSE,2.508835154071285e-31,30.600527873571465,615,173,86,4958,"ADA2,BRCA1,BRCA2,BRIP1,BTK,CD40LG,CLCN7,CTC1,DDX41,DKC1,DNAJC21,ELANE,EPB42,ERCC4,ETV6,FANCA,FANCB,FANCC,FANCD2,FANCE,FANCF,FANCG,FANCI,FANCL,FMO3,FOXP3,G6PC3,GATA1,GBA1,HBB,IFIH1,LIPA,LMBRD1,LPIN2,LYST,MAD2L2,MMAA,MMAB,MMACHC,MTRR,NAF1,PALB2,PCCA,PCCB,PRDX1,RAD51,RAD51C,RBM8A,RFWD3,RMRP,RPL11,RPL15,RPL18,RPL26,RPL35,RPL35A,RPL5,RPS10,RPS15A,RPS17,RPS19,RPS24,RPS26,RPS28,RPS29,RPS7,SAMD9,SAMD9L,SBDS,SLC37A4,SLC46A1,SLC7A7,SLX4,SMARCAL1,SMPD1,SRP54,TERT,TFR2,TGFB1,TINF2,TREX1,TSR2,UBE2T,UROS,WAS,XRCC2"
HP,Abnormal_reticulocyte_morphology,Abnormal reticulocyte morphology,HP:0004312,FALSE,3.1835089731480656e-31,30.497093921681024,84,173,38,4958,"ABCG8,ADA2,CDAN1,CDIN1,CFH,CFHR1,CFHR3,CLCN7,EPB42,FANCA,FANCC,FANCD2,FANCE,GATA1,HBB,MTTP,RPL11,RPL15,RPL18,RPL26,RPL35,RPL35A,RPL5,RPS10,RPS15A,RPS17,RPS19,RPS24,RPS26,RPS28,RPS29,RPS7,SBDS,SLC2A1,SLC4A1,TERT,TSR2,UROS"
HP,Abnormality_of_the_abdominal_organs,Abnormality of the abdominal organs,HP:0002012,FALSE,7.517558800572936e-31,30.123923166265094,1335,173,122,4958,"ABCA1,ABCG8,ACVRL1,ADA2,ALG8,ANKS6,ATP7B,BAAT,BRCA1,BRCA2,BRIP1,BTK,CD40LG,CDAN1,CDIN1,CEP164,CEP83,CFB,CLCN7,COG1,CP,CTC1,DCDC2,DKC1,DNAJC21,ELANE,ENG,EPB42,ERCC4,FAH,FAM111A,FANCA,FANCB,FANCC,FANCD2,FANCE,FANCF,FANCG,FANCI,FANCL,FARS2,FMO3,FOXP3,G6PC1,G6PC3,GATA1,GBA1,HAMP,HBA1,HBA2,HBB,IFIH1,INVS,KCNQ1,LIPA,LMBRD1,LPIN2,LYST,MAD2L2,MEN1,MMAA,MMAB,MMACHC,MTRR,MTTP,NAF1,NEK8,NPHP1,NPHP3,NPHP4,PALB2,PCCA,PCCB,PEPD,PLEC,RAD51,RAD51C,RBM8A,RFWD3,RMRP,SAMD9,SAMD9L,SBDS,SLC25A13,SLC2A1,SLC37A4,SLC4A1,SLC7A7,SLX4,SMAD4,SMARCAL1,SMPD1,SRP54,STK11,SURF1,TBX1,TERT,TFR2,TGFB1,TINF2,TMEM67,TREX1,UBE2T,UROS,WDR19,XK,XPNPEP3,XRCC2,MT-ATP8,MT-ATP6,MT-CO1,MT-CO2,MT-CO3,MT-CYB,MT-ND1,MT-ND2,MT-ND3,MT-ND4,MT-ND5,MT-ND6,POLG,POLG2"
HP,Abnormal_neutrophil_count,Abnormal neutrophil count,HP:0011991,FALSE,3.513132899653481e-30,29.454305420804495,217,173,54,4958,"ADA2,BTK,CD40LG,DNAJC21,ELANE,ETV6,FANCA,FANCC,FANCD2,FANCE,FANCG,FANCI,FMO3,FOXP3,G6PC3,GATA1,LMBRD1,LYST,MAD2L2,MMAA,MMAB,MMACHC,MTRR,PCCA,PCCB,PRDX1,RMRP,RPL11,RPL15,RPL18,RPL26,RPL35,RPL35A,RPL5,RPS10,RPS15A,RPS17,RPS19,RPS24,RPS26,RPS28,RPS29,RPS7,SAMD9,SAMD9L,SBDS,SLC37A4,SLC46A1,SMARCAL1,SRP54,TERT,TFR2,TSR2,WAS"
HP,Increased_mean_corpuscular_volume,Increased mean corpuscular volume,HP:0005518,FALSE,7.165370401335075e-30,29.144761354590006,52,173,31,4958,"ADA2,DNAJC21,ETV6,GATA1,HBB,MMADHC,MTRR,RPL11,RPL15,RPL18,RPL26,RPL35,RPL35A,RPL5,RPS10,RPS15A,RPS17,RPS19,RPS24,RPS26,RPS28,RPS29,RPS7,SAMD9,SAMD9L,SBDS,SLC4A1,SRP54,TERT,TINF2,TSR2"
HP,Hematological_neoplasm,Hematological neoplasm,HP:0004377,FALSE,1.0066034882173274e-29,28.99714156896082,296,173,61,4958,"ADA2,BRCA1,BRCA2,BRIP1,CTC1,DDX41,DKC1,DNAJC21,ELANE,ERCC4,ETV6,FANCA,FANCB,FANCC,FANCD2,FANCE,FANCF,FANCG,FANCI,FANCL,GATA1,GBA1,HLA-DQB1,IFIH1,MAD2L2,NAF1,PALB2,RAD51,RAD51C,RFWD3,RMRP,RPL11,RPL15,RPL18,RPL26,RPL35,RPL35A,RPL5,RPS10,RPS15A,RPS17,RPS19,RPS24,RPS26,RPS28,RPS29,RPS7,SAMD9,SAMD9L,SBDS,SLX4,SMARCAL1,SMPD1,SRP54,TERT,TINF2,TREX1,TSR2,UBE2T,WAS,XRCC2"
